,artistsrc,titlesrc,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,Bing Crosby,White Christmas,,,,,,,,,,,,,,,,,,,"{'status': 404, 'message': 'analysis not found'}"
1,Elton John,Candle in the Wind 1997,0.533,0.111,4,-15.971,1,0.0449,0.955,0.672,0.0975,0.222,125.477,audio_features,1DHec5LBzLgM4J06z3aDFB,spotify:track:1DHec5LBzLgM4J06z3aDFB,https://api.spotify.com/v1/tracks/1DHec5LBzLgM4J06z3aDFB,https://api.spotify.com/v1/audio-analysis/1DHec5LBzLgM4J06z3aDFB,256200,4,
2,Mungo Jerry,In the Summertime,0.754,0.449,4,-14.013,1,0.0615,0.724,0.0,0.162,0.973,82.751,audio_features,3RNyGLgSvmVRZ7xKUp8Wgd,spotify:track:3RNyGLgSvmVRZ7xKUp8Wgd,https://api.spotify.com/v1/tracks/3RNyGLgSvmVRZ7xKUp8Wgd,https://api.spotify.com/v1/audio-analysis/3RNyGLgSvmVRZ7xKUp8Wgd,211880,4,
3,Bing Crosby,Silent Night,0.111,0.184,8,-15.011,1,0.0344,0.974,0.0456,0.111,0.214,76.416,audio_features,0nXn0SUs0tltQODYyNbqcc,spotify:track:0nXn0SUs0tltQODYyNbqcc,https://api.spotify.com/v1/tracks/0nXn0SUs0tltQODYyNbqcc,https://api.spotify.com/v1/audio-analysis/0nXn0SUs0tltQODYyNbqcc,156867,1,
4,Bill Haley,Rock Around the Clock,0.609,0.526,9,-13.106,1,0.43,0.139,0.0,0.0946,0.93,173.179,audio_features,34AmZ4PMz9iNZVp9AMIGZj,spotify:track:34AmZ4PMz9iNZVp9AMIGZj,https://api.spotify.com/v1/tracks/34AmZ4PMz9iNZVp9AMIGZj,https://api.spotify.com/v1/audio-analysis/34AmZ4PMz9iNZVp9AMIGZj,137000,4,
5,Domenico Modugno,Nel blu dipinto di blu,0.547,0.0588,10,-17.062,1,0.0405,0.982,1.59e-05,0.193,0.481,129.51,audio_features,5zyrEv4F3FaLECI8TOKpFM,spotify:track:5zyrEv4F3FaLECI8TOKpFM,https://api.spotify.com/v1/tracks/5zyrEv4F3FaLECI8TOKpFM,https://api.spotify.com/v1/audio-analysis/5zyrEv4F3FaLECI8TOKpFM,219120,4,
6,Whitney Houston,I Will Always Love You,0.306,0.214,4,-12.518,1,0.0356,0.844,5.3e-06,0.0839,0.108,66.98,audio_features,4eHbdreAnSOrDDsFfc4Fpm,spotify:track:4eHbdreAnSOrDDsFfc4Fpm,https://api.spotify.com/v1/tracks/4eHbdreAnSOrDDsFfc4Fpm,https://api.spotify.com/v1/audio-analysis/4eHbdreAnSOrDDsFfc4Fpm,271093,4,
7,Elvis Presley,It's Now or Never,0.643,0.491,4,-9.312,1,0.0344,0.642,0.00972,0.286,0.753,126.399,audio_features,1XunTmhOcj3xwh4b8P3isX,spotify:track:1XunTmhOcj3xwh4b8P3isX,https://api.spotify.com/v1/tracks/1XunTmhOcj3xwh4b8P3isX,https://api.spotify.com/v1/audio-analysis/1XunTmhOcj3xwh4b8P3isX,194600,4,
8,USA for Africa,We Are the World,0.613,0.747,4,-6.59,1,0.0505,0.613,0.0,0.306,0.48,145.021,audio_features,7p1G7n72t0XpGeGUfJqn0Z,spotify:track:7p1G7n72t0XpGeGUfJqn0Z,https://api.spotify.com/v1/tracks/7p1G7n72t0XpGeGUfJqn0Z,https://api.spotify.com/v1/audio-analysis/7p1G7n72t0XpGeGUfJqn0Z,305067,4,
9,The Ink Spots,If I Didn't Care,0.441,0.132,11,-16.601,0,0.07,0.993,0.00102,0.135,0.323,88.151,audio_features,6FfdbDMgOWLVg8Ay3m2WGR,spotify:track:6FfdbDMgOWLVg8Ay3m2WGR,https://api.spotify.com/v1/tracks/6FfdbDMgOWLVg8Ay3m2WGR,https://api.spotify.com/v1/audio-analysis/6FfdbDMgOWLVg8Ay3m2WGR,186400,4,
10,Céline Dion,My Heart Will Go On,0.428,0.276,4,-11.729,1,0.0312,0.732,5.33e-06,0.117,0.0382,99.195,audio_features,3oEHQmhvFLiE7ZYES0ulzv,spotify:track:3oEHQmhvFLiE7ZYES0ulzv,https://api.spotify.com/v1/tracks/3oEHQmhvFLiE7ZYES0ulzv,https://api.spotify.com/v1/audio-analysis/3oEHQmhvFLiE7ZYES0ulzv,280000,1,
11,The Beatles,I Want to Hold Your Hand,0.49,0.715,7,-5.549,1,0.0476,0.386,0.0,0.311,0.866,130.726,audio_features,4pbG9SUmWIvsROVLF0zF9s,spotify:track:4pbG9SUmWIvsROVLF0zF9s,https://api.spotify.com/v1/tracks/4pbG9SUmWIvsROVLF0zF9s,https://api.spotify.com/v1/audio-analysis/4pbG9SUmWIvsROVLF0zF9s,145747,4,
