,artistsrc,titlesrc,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Ava Max,Sweet but Psycho,0.719,0.704,1,-4.724,1,0.0476,0.0691,0,0.166,0.628,133.002,audio_features,25sgk305KZfyuqVBQIahim,spotify:track:25sgk305KZfyuqVBQIahim,https://api.spotify.com/v1/tracks/25sgk305KZfyuqVBQIahim,https://api.spotify.com/v1/audio-analysis/25sgk305KZfyuqVBQIahim,187436,4
1,Noah Kahan,False Confidence,0.417,0.673,6,-7.719,1,0.0497,0.199,0,0.128,0.314,108.994,audio_features,6KuU2rnFYUyYzGOwcCZDT7,spotify:track:6KuU2rnFYUyYzGOwcCZDT7,https://api.spotify.com/v1/tracks/6KuU2rnFYUyYzGOwcCZDT7,https://api.spotify.com/v1/audio-analysis/6KuU2rnFYUyYzGOwcCZDT7,222533,4
2,Roddy Ricch,Die Young,0.688,0.642,4,-5.567,0,0.321,0.221,0,0.2,0.341,160.319,audio_features,1lWK70HfYRFZtWJUwUrY48,spotify:track:1lWK70HfYRFZtWJUwUrY48,https://api.spotify.com/v1/tracks/1lWK70HfYRFZtWJUwUrY48,https://api.spotify.com/v1/audio-analysis/1lWK70HfYRFZtWJUwUrY48,161129,4
3,Mick Jenkins,Understood,0.664,0.842,9,-5.351,1,0.339,0.206,6.26e-06,0.554,0.719,84.994,audio_features,2BssO16rgM7BEyKog4GCvd,spotify:track:2BssO16rgM7BEyKog4GCvd,https://api.spotify.com/v1/tracks/2BssO16rgM7BEyKog4GCvd,https://api.spotify.com/v1/audio-analysis/2BssO16rgM7BEyKog4GCvd,208571,4
4,DaniLeigh,Lil Bebe,0.832,0.485,1,-4.521,1,0.086,0.0479,0,0.111,0.0721,136.039,audio_features,7esO3L3DP7bM2OOd0Rdb4W,spotify:track:7esO3L3DP7bM2OOd0Rdb4W,https://api.spotify.com/v1/tracks/7esO3L3DP7bM2OOd0Rdb4W,https://api.spotify.com/v1/audio-analysis/7esO3L3DP7bM2OOd0Rdb4W,174320,4
5,Brynn Elliott,Might Not Like Me,0.88,0.675,4,-5.035,1,0.0359,0.284,0,0.103,0.561,114.022,audio_features,6jjthaSazWJUHKzNkkEDkQ,spotify:track:6jjthaSazWJUHKzNkkEDkQ,https://api.spotify.com/v1/tracks/6jjthaSazWJUHKzNkkEDkQ,https://api.spotify.com/v1/audio-analysis/6jjthaSazWJUHKzNkkEDkQ,196320,4
6,Elle King,Shame,0.656,0.935,11,-2.476,1,0.0461,0.0205,0.00075,0.0731,0.916,120.011,audio_features,61eWyvx6fZ5xCG3mZpU858,spotify:track:61eWyvx6fZ5xCG3mZpU858,https://api.spotify.com/v1/tracks/61eWyvx6fZ5xCG3mZpU858,https://api.spotify.com/v1/audio-analysis/61eWyvx6fZ5xCG3mZpU858,159268,4
7,flora cash,You're Somebody Else,0.713,0.452,1,-9.638,1,0.0295,0.841,0.0038,0.105,0.235,102.963,audio_features,0pdKRp2sUthTPe7RLWpPqQ,spotify:track:0pdKRp2sUthTPe7RLWpPqQ,https://api.spotify.com/v1/tracks/0pdKRp2sUthTPe7RLWpPqQ,https://api.spotify.com/v1/audio-analysis/0pdKRp2sUthTPe7RLWpPqQ,218883,4
8,Young the Giant, Superposition,0.593,0.697,7,-5.416,1,0.0399,0.00289,0.0257,0.14,0.428,170.0,audio_features,67YPjbcxUypwNOwYBZquq1,spotify:track:67YPjbcxUypwNOwYBZquq1,https://api.spotify.com/v1/tracks/67YPjbcxUypwNOwYBZquq1,https://api.spotify.com/v1/audio-analysis/67YPjbcxUypwNOwYBZquq1,230960,4
9,Travis Denning,David Ashley Parker,0.555,0.895,5,-4.787,1,0.0472,0.131,0,0.0922,0.38,138.076,audio_features,4fhKaRCxbWXA3BwAr3Zxjx,spotify:track:4fhKaRCxbWXA3BwAr3Zxjx,https://api.spotify.com/v1/tracks/4fhKaRCxbWXA3BwAr3Zxjx,https://api.spotify.com/v1/audio-analysis/4fhKaRCxbWXA3BwAr3Zxjx,210173,4
10,Jay Critch,Ego,0.834,0.567,7,-5.16,0,0.1,0.188,0,0.0998,0.204,127.991,audio_features,0e9JDnz30moH9suCA64omJ,spotify:track:0e9JDnz30moH9suCA64omJ,https://api.spotify.com/v1/tracks/0e9JDnz30moH9suCA64omJ,https://api.spotify.com/v1/audio-analysis/0e9JDnz30moH9suCA64omJ,210432,4
11,Jacob Banks,Be Good To Me,0.465,0.429,7,-6.457,0,0.176,0.742,1.53e-05,0.119,0.289,78.65,audio_features,7juealXfkel1kLInjvY4W8,spotify:track:7juealXfkel1kLInjvY4W8,https://api.spotify.com/v1/tracks/7juealXfkel1kLInjvY4W8,https://api.spotify.com/v1/audio-analysis/7juealXfkel1kLInjvY4W8,250827,4
12,Burna Boy,Gbona,0.806,0.813,4,-5.868,0,0.158,0.564,0.000141,0.105,0.943,93.88,audio_features,2Q20eWqSnV519ybPThUDWs,spotify:track:2Q20eWqSnV519ybPThUDWs,https://api.spotify.com/v1/tracks/2Q20eWqSnV519ybPThUDWs,https://api.spotify.com/v1/audio-analysis/2Q20eWqSnV519ybPThUDWs,187815,4
13,Lalo Ebratt, Trapical,0.732,0.758,11,-1.694,1,0.189,0.213,0,0.388,0.78,98.007,audio_features,1usoXi4f0BnMART4uActEA,spotify:track:1usoXi4f0BnMART4uActEA,https://api.spotify.com/v1/tracks/1usoXi4f0BnMART4uActEA,https://api.spotify.com/v1/audio-analysis/1usoXi4f0BnMART4uActEA,202876,4
14,for KING COUNTRY, joy,0.68,0.536,5,-6.669,0,0.0582,0.0102,0.00105,0.113,0.417,119.958,audio_features,0vBjd0I8iefycEZ2ex1Zpi,spotify:track:0vBjd0I8iefycEZ2ex1Zpi,https://api.spotify.com/v1/tracks/0vBjd0I8iefycEZ2ex1Zpi,https://api.spotify.com/v1/audio-analysis/0vBjd0I8iefycEZ2ex1Zpi,233947,4
15,Bri Steves,Jealousy,0.792,0.716,8,-3.726,1,0.283,0.219,0,0.118,0.655,142.218,audio_features,2R334BsGSyFFTTH7KEXlyW,spotify:track:2R334BsGSyFFTTH7KEXlyW,https://api.spotify.com/v1/tracks/2R334BsGSyFFTTH7KEXlyW,https://api.spotify.com/v1/audio-analysis/2R334BsGSyFFTTH7KEXlyW,186905,4
16,Bryant Myers,Tanta Falta,0.856,0.728,7,-3.497,1,0.0916,0.135,1e-06,0.2,0.797,89.999,audio_features,0sPTfDSZgE3KvcvqaKPtEx,spotify:track:0sPTfDSZgE3KvcvqaKPtEx,https://api.spotify.com/v1/tracks/0sPTfDSZgE3KvcvqaKPtEx,https://api.spotify.com/v1/audio-analysis/0sPTfDSZgE3KvcvqaKPtEx,181093,4
17,The Struts,Body Talks,0.537,0.92,10,-3.438,0,0.274,0.00592,0,0.34,0.843,185.703,audio_features,71hhuJLNpxBQLSbbQ6ZWr4,spotify:track:71hhuJLNpxBQLSbbQ6ZWr4,https://api.spotify.com/v1/tracks/71hhuJLNpxBQLSbbQ6ZWr4,https://api.spotify.com/v1/audio-analysis/71hhuJLNpxBQLSbbQ6ZWr4,177160,4
18,Tyler Rich,11:11,0.523,0.765,10,-4.533,1,0.0384,0.0216,2.56e-06,0.273,0.709,145.976,audio_features,34BfePQtOKjPRvRpHagBTC,spotify:track:34BfePQtOKjPRvRpHagBTC,https://api.spotify.com/v1/tracks/34BfePQtOKjPRvRpHagBTC,https://api.spotify.com/v1/audio-analysis/34BfePQtOKjPRvRpHagBTC,196040,4
19,tobi lou,Buff Baby,0.736,0.643,5,-8.636,1,0.0461,0.19,0,0.106,0.599,156.002,audio_features,1F1QmI8TMHir9SUFrooq5F,spotify:track:1F1QmI8TMHir9SUFrooq5F,https://api.spotify.com/v1/tracks/1F1QmI8TMHir9SUFrooq5F,https://api.spotify.com/v1/audio-analysis/1F1QmI8TMHir9SUFrooq5F,215385,4
